,hTeam,hGoals,hPenalties,hResult,aTeam,aGoals,aPenalties,aResult,mType,mDate,comp
0,Georgia,0,4,W,Greece,0,2,L,Final,26.03.24,"Euros 2024, Qualifiers"
1,Wales,0,4,L,Poland,0,5,W,Final,26.03.24,"Euros 2024, Qualifiers"
2,Ukraine,2,,W,Iceland,1,,L,Final,26.03.24,"Euros 2024, Qualifiers"
3,Georgia,2,,W,Luxembourg,0,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
4,Poland,5,,W,Estonia,1,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
5,Wales,4,,W,Finland,1,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
6,Bosnia,1,,L,Ukraine,2,,W,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
7,Israel,1,,L,Iceland,4,,W,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
8,Greece,5,,W,Kazakhstan,0,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
9,Scotland,3,,W,Cyprus,0,,L,Group Stage,25.03.23,"Euros 2024, Qualifiers"
10,Spain,3,,W,Norway,0,,L,Group Stage,25.03.23,"Euros 2024, Qualifiers"
11,Georgia,1,,D,Norway,1,,D,Group Stage,28.03.23,"Euros 2024, Qualifiers"
12,Scotland,2,,W,Spain,0,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
13,Norway,1,,L,Scotland,2,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
14,Cyprus,1,,L,Georgia,2,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
15,Scotland,2,,W,Georgia,0,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
16,Norway,3,,W,Cyprus,1,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
17,Georgia,1,,L,Spain,7,,W,Group Stage,08.09.23,"Euros 2024, Qualifiers"
18,Cyprus,0,,L,Scotland,3,,W,Group Stage,08.09.23,"Euros 2024, Qualifiers"
19,Spain,6,,W,Cyprus,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
20,Norway,2,,W,Georgia,1,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
21,Spain,2,,W,Scotland,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
22,Cyprus,0,,L,Norway,4,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
23,Georgia,4,,W,Cyprus,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
24,Norway,0,,L,Spain,1,,W,Group Stage,15.10.23,"Euros 2024, Qualifiers"
25,Georgia,2,,D,Scotland,2,,D,Group Stage,16.11.23,"Euros 2024, Qualifiers"
26,Cyprus,1,,L,Spain,3,,W,Group Stage,16.11.23,"Euros 2024, Qualifiers"
27,Spain,3,,W,Georgia,1,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
28,Scotland,3,,D,Norway,3,,D,Group Stage,19.11.23,"Euros 2024, Qualifiers"
29,France,4,,W,Netherlands,0,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
30,Gibraltar,0,,L,Greece,3,,W,Group Stage,24.03.23,"Euros 2024, Qualifiers"
31,Netherlands,3,,W,Gibraltar,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
32,Ireland,0,,L,France,1,,W,Group Stage,27.03.23,"Euros 2024, Qualifiers"
33,Greece,2,,W,Ireland,1,,L,Group Stage,16.06.23,"Euros 2024, Qualifiers"
34,Gibraltar,0,,L,France,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
35,France,1,,W,Greece,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
36,Ireland,3,,W,Gibraltar,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
37,Netherlands,3,,W,Greece,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
38,France,2,,W,Ireland,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
39,Ireland,1,,L,Netherlands,2,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
40,Greece,5,,W,Gibraltar,0,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
41,Netherlands,1,,L,France,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
42,Ireland,0,,L,Greece,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
43,Greece,0,,L,Netherlands,1,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
44,Gibraltar,0,,L,Ireland,4,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
45,Netherlands,1,,W,Ireland,0,,L,Group Stage,18.11.23,"Euros 2024, Qualifiers"
46,France,14,,W,Gibraltar,0,,L,Group Stage,18.11.23,"Euros 2024, Qualifiers"
47,Greece,2,,D,France,2,,D,Group Stage,21.11.23,"Euros 2024, Qualifiers"
48,Gibraltar,0,,L,Netherlands,6,,W,Group Stage,21.11.23,"Euros 2024, Qualifiers"
49,Italy,1,,L,England,2,,W,Group Stage,23.03.23,"Euros 2024, Qualifiers"
50,N.Macedonia,2,,W,Malta,1,,L,Group Stage,23.03.23,"Euros 2024, Qualifiers"
51,England,2,,W,Ukraine,0,,L,Group Stage,26.03.23,"Euros 2024, Qualifiers"
52,Malta,0,,L,Italy,2,,W,Group Stage,26.03.23,"Euros 2024, Qualifiers"
53,N.Macedonia,2,,L,Ukraine,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
54,Malta,0,,L,England,4,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
55,Ukraine,1,,W,Malta,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
56,England,7,,W,N.Macedonia,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
57,Ukraine,1,,D,England,1,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
58,N.Macedonia,1,,D,Italy,1,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
59,Italy,2,,W,Ukraine,1,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
60,Malta,0,,L,N.Macedonia,2,,W,Group Stage,12.09.23,"Euros 2024, Qualifiers"
61,Ukraine,2,,W,N.Macedonia,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
62,Italy,4,,W,Malta,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
63,England,3,,W,Italy,1,,L,Group Stage,17.10.23,"Euros 2024, Qualifiers"
64,Malta,1,,L,Ukraine,3,,W,Group Stage,17.10.23,"Euros 2024, Qualifiers"
65,Italy,5,,W,N.Macedonia,2,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
66,England,2,,W,Malta,0,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
67,Ukraine,0,,D,Italy,0,,D,Group Stage,20.11.23,"Euros 2024, Qualifiers"
68,N.Macedonia,1,,D,England,1,,D,Group Stage,20.11.23,"Euros 2024, Qualifiers"
69,Armenia,1,,L,Türkiye,2,,W,Group Stage,25.03.23,"Euros 2024, Qualifiers"
70,Croatia,1,,D,Wales,1,,D,Group Stage,25.03.23,"Euros 2024, Qualifiers"
71,Wales,1,,W,Latvia,0,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
72,Türkiye,0,,L,Croatia,2,,W,Group Stage,28.03.23,"Euros 2024, Qualifiers"
73,Wales,2,,L,Armenia,4,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
74,Latvia,2,,L,Türkiye,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
75,Armenia,2,,W,Latvia,1,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
76,Türkiye,2,,W,Wales,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
77,Croatia,5,,W,Latvia,0,,L,Group Stage,08.09.23,"Euros 2024, Qualifiers"
78,Türkiye,1,,D,Armenia,1,,D,Group Stage,08.09.23,"Euros 2024, Qualifiers"
79,Armenia,0,,L,Croatia,1,,W,Group Stage,11.09.23,"Euros 2024, Qualifiers"
80,Latvia,0,,L,Wales,2,,W,Group Stage,11.09.23,"Euros 2024, Qualifiers"
81,Latvia,2,,W,Armenia,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
82,Croatia,0,,L,Türkiye,1,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
83,Wales,2,,W,Croatia,1,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
84,Türkiye,4,,W,Latvia,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
85,Armenia,1,,D,Wales,1,,D,Group Stage,18.11.23,"Euros 2024, Qualifiers"
86,Latvia,0,,L,Croatia,2,,W,Group Stage,18.11.23,"Euros 2024, Qualifiers"
87,Croatia,1,,W,Armenia,0,,L,Group Stage,21.11.23,"Euros 2024, Qualifiers"
88,Wales,1,,D,Türkiye,1,,D,Group Stage,21.11.23,"Euros 2024, Qualifiers"
89,Czech,3,,W,Poland,1,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
90,Moldova,1,,D,Faroe Islands,1,,D,Group Stage,24.03.23,"Euros 2024, Qualifiers"
91,Poland,1,,W,Albania,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
92,Moldova,0,,D,Czech,0,,D,Group Stage,27.03.23,"Euros 2024, Qualifiers"
93,Albania,2,,W,Moldova,0,,L,Group Stage,17.06.23,"Euros 2024, Qualifiers"
94,Faroe Islands,0,,L,Czech,3,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
95,Faroe Islands,1,,L,Albania,3,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
96,Moldova,3,,W,Poland,2,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
97,Poland,2,,W,Faroe Islands,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
98,Czech,1,,D,Albania,1,,D,Group Stage,07.09.23,"Euros 2024, Qualifiers"
99,Faroe Islands,0,,L,Moldova,1,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
100,Albania,2,,W,Poland,0,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
101,Albania,3,,W,Czech,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
102,Faroe Islands,0,,L,Poland,2,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
