,home team,home goals,home penalties,away team,away goals,away penalties,match type,match date,competition
0,Italy,1,3,England,1,2,Final,11.07.21,Euros 2020
1,Spain,1,2,Italy,1,4,Semi-finals,06.07.21,Euros 2020
2,England,2,,Denmark,1,,Semi-finals,07.07.21,Euros 2020
3,Switzerland,1,1,Spain,1,3,Quarter-finals,02.07.21,Euros 2020
4,Belgium,1,,Italy,2,,Quarter-finals,02.07.21,Euros 2020
5,Czech,1,,Denmark,2,,Quarter-finals,03.07.21,Euros 2020
6,Ukraine,0,,England,4,,Quarter-finals,03.07.21,Euros 2020
7,Wales,0,,Denmark,4,,Round of 16,26.06.21,Euros 2020
8,Italy,2,,Austria,1,,Round of 16,26.06.21,Euros 2020
9,Netherlands,0,,Czech,2,,Round of 16,27.06.21,Euros 2020
10,Belgium,1,,Portugal,0,,Round of 16,27.06.21,Euros 2020
11,Croatia,3,,Spain,5,,Round of 16,28.06.21,Euros 2020
12,France,3,4,Switzerland,3,5,Round of 16,28.06.21,Euros 2020
13,England,2,,Germany,0,,Round of 16,29.06.21,Euros 2020
14,Sweden,1,,Ukraine,2,,Round of 16,29.06.21,Euros 2020
15,Türkiye,0,,Italy,3,,Group Stage,11.06.21,Euros 2020
16,Wales,1,,Switzerland,1,,Group Stage,12.06.21,Euros 2020
17,Türkiye,0,,Wales,2,,Group Stage,16.06.21,Euros 2020
18,Italy,3,,Switzerland,0,,Group Stage,16.06.21,Euros 2020
19,Switzerland,3,,Türkiye,1,,Group Stage,20.06.21,Euros 2020
20,Italy,1,,Wales,0,,Group Stage,20.06.21,Euros 2020
21,Denmark,0,,Finland,1,,Group Stage,12.06.21,Euros 2020
22,Belgium,3,,Russia,0,,Group Stage,12.06.21,Euros 2020
23,Finland,0,,Russia,1,,Group Stage,16.06.21,Euros 2020
24,Denmark,1,,Belgium,2,,Group Stage,17.06.21,Euros 2020
25,Russia,1,,Denmark,4,,Group Stage,21.06.21,Euros 2020
26,Finland,0,,Belgium,2,,Group Stage,21.06.21,Euros 2020
27,Austria,3,,N.Macedonia,1,,Group Stage,13.06.21,Euros 2020
28,Netherlands,3,,Ukraine,2,,Group Stage,13.06.21,Euros 2020
29,Ukraine,2,,N.Macedonia,1,,Group Stage,17.06.21,Euros 2020
30,Netherlands,2,,Austria,0,,Group Stage,17.06.21,Euros 2020
31,N.Macedonia,0,,Netherlands,3,,Group Stage,21.06.21,Euros 2020
